phrase,total_occurrences
peopl,5007
go,4739
state,3528
need,3524
get,3395
think,3199
make,3032
work,2900
presid,2826
time,2775
one,2624
want,2544
would,2477
know,2393
like,2265
us,2232
take,2082
right,2080
american,1931
health,1892
come,1829
year,1804
thing,1778
way,1738
new,1738
trump,1651
help,1637
say,1590
see,1547
continu,1537
look,1517
communiti,1517
day,1505
support,1486
public,1477
countri,1475
everi,1370
realli,1277
care,1241
back,1227
protect,1218
mani,1217
hous,1200
put,1198
nation,1178
senat,1175
well,1171
good,1171
could,1171
lot,1162
import,1144
famili,1143
govern,1135
busi,1133
use,1117
sure,1103
tri,1100
live,1096
democrat,1091
vote,1057
provid,1043
even,1034
issu,1030
first,1018
today,1012
got,992
also,987
believ,980
much,959
elect,944
keep,937
home,928
call,923
bill,922
respons,903
place,900
abl,898
polit,893
job,893
person,891
chang,879
done,870
make sure,868
decis,860
togeth,856
case,856
world,851
someth,851
unit,848
happen,845
last,839
week,836
law,835
said,816
hope,812
covid,810
coronavirus,810
test,807
talk,806
made,802
citi,798
long,797
best,790
must,785
system,776
two,771
number,771
great,767
better,764
let,761
virus,760
crisi,760
give,757
ensur,757
action,755
still,754
servic,752
may,752
ask,746
end,744
feder,742
never,738
clear,730
part,724
money,723
offic,712
move,707
forward,705
school,701
economi,701
differ,701
fund,696
process,695
spread,693
administr,688
start,687
unit state,682
step,680
fight,680
tell,678
america,677
opportun,672
life,671
around,671
allow,664
plan,658
next,658
bring,653
mean,650
republican,647
includ,646
across,646
order,644
act,632
parti,627
power,623
concern,623
stay,621
econom,618
inform,616
local,615
close,615
polici,613
risk,609
point,607
secur,603
million,603
worker,597
possibl,597
posit,596
hard,593
fact,586
everyon,580
congress,580
understand,576
direct,576
safe,570
run,568
feel,566
member,563
question,559
kind,559
impeach,559
impact,558
without,556
deal,556
legisl,551
face,546
campaign,545
pass,541
open,541
effort,541
creat,540
problem,539
find,537
critic,535
governor,534
safeti,533
social,531
show,531
everyth,531
commit,530
futur,529
donald,522
anoth,522
increas,518
emerg,511
win,509
leader,507
stand,504
pay,504
build,504
whether,500
interest,500
health care,500
strong,499
donald trump,499
term,498
serious,497
alway,497
alreadi,496
month,495
hospit,495
actual,492
presid trump,491
war,490
hear,490
biden,490
reason,487
public health,486
address,486
student,485
stop,485
medic,485
big,485
women,482
real,479
littl,475
resourc,474
challeng,473
access,469
program,467
pandem,465
individu,464
high,463
depart,462
counti,461
certain,458
american peopl,458
serv,457
tax,455
hand,455
cannot,452
industri,449
line,447
educ,447
constitut,447
small,446
meet,446
major,446
ever,446
level,443
prepar,441
situat,431
forc,431
focus,429
matter,424
compani,422
addit,422
result,419
lead,417
effect,417
love,415
anyth,415
trial,414
base,413
requir,411
expect,411
remain,409
seen,408
china,405
iran,404
histori,398
voter,397
three,397
attack,397
play,396
wit,395
turn,393
offici,393
someon,392
necessari,392
cost,390
respond,389
becom,385
enough,383
report,382
away,382
york,381
thought,381
